converted_alias	mock_rep1	mock_rep2	mock_rep3	sars_cov_rep1	sars_cov_rep2	sars_cov_rep3	p_value
ENSG00000101079	16.26	17.58	17.39	14.31	15.08	15.8	0.02778673969609741
ENSG00000101347	1.425	1.775	1.865	2.919	2.955	2.99	0.0007353627066021203
ENSG00000197122	20.5	20.48	20.37	24.78	21.51	22.97	0.0495485853302413
ENSG00000101413	5.525	5.917	6.217	4.737	5.096	4.78	0.011579225852163639
ENSG00000198959	31.46	24.54	27.44	50.19	38.66	44.08	0.013232813358314324
ENSG00000124143	1.985	1.979	1.842	2.533	2.177	2.734	0.03219442987639238
ENSG00000124102	2.967	4.759	2.352	10.69	10.38	11.74	0.0008026547161237319
ENSG00000124107	137.7	129.8	117.7	193.9	182.8	180.0	0.0013623476215325202
ENSG00000124145	127.2	119.6	112.0	151.0	157.4	135.8	0.021459949780543174
ENSG00000244274	3.02	3.127	3.237	3.659	4.161	4.861	0.036105054861348386
ENSG00000175063	7.612	7.661	7.529	6.413	6.784	5.918	0.008383927826155397
ENSG00000064601	35.07	36.15	31.76	30.35	30.04	29.66	0.032069774134073456
ENSG00000100985	2.239	2.924	2.1	16.6	10.17	8.651	0.018590947234146792
ENSG00000204044	0.2341	0.4235	0.2131	0.9412	0.9001	0.5407	0.02478373598012985
ENSG00000101017	1.771	1.989	2.106	2.454	2.445	2.308	0.014812348621022717
ENSG00000197496	1.664	1.818	1.621	1.432	1.514	1.499	0.027794409994091277
ENSG00000064655	17.79	19.61	18.72	15.83	16.06	15.01	0.007483671315636168
ENSG00000101040	30.85	28.46	29.15	31.61	33.61	31.74	0.04192330501856856
ENSG00000124151	10.78	11.55	10.5	8.98	9.267	9.829	0.016777401292483313
ENSG00000196562	27.99	30.28	29.12	25.47	21.93	21.61	0.011979743897086543
ENSG00000124201	16.79	16.91	16.0	18.16	18.92	19.26	0.006908095961435581
ENSG00000124226	11.86	12.41	12.22	13.96	13.18	13.12	0.016269031003204704
ENSG00000240849	20.17	20.51	18.95	24.09	23.08	21.8	0.018736877951343166
ENSG00000231742	0.9274	0.8808	0.919	0.7308	0.52	0.6426	0.011448832655122905
ENSG00000224397	0.09672	0.1021	0.1141	0.2903	0.1808	0.1737	0.04391615731701607
ENSG00000054793	7.869	7.805	7.687	6.274	7.02	7.002	0.01530688677274583
ENSG00000234948	0.07455	0.04721	0.09499	0.0	0.01672	0.0	0.011085568328051125
ENSG00000101144	0.3415	0.326	0.2187	0.09152	0.1641	0.1189	0.017935294864380613
ENSG00000278709	1.661	1.381	1.425	2.181	2.088	2.151	0.002032938050636763
ENSG00000124172	18.29	16.32	17.44	13.62	14.79	14.79	0.012961043987640346
ENSG00000130703	16.57	16.66	15.23	17.75	18.49	18.79	0.01699313027150191
ENSG00000149679	1.382	1.677	1.516	1.206	0.833	1.157	0.03371256480401696
ENSG00000101193	21.86	22.54	21.23	16.8	19.77	18.32	0.018778156060342683
ENSG00000125534	120.7	163.2	151.7	94.62	97.01	114.3	0.037659105268659336
ENSG00000197457	0.5504	0.6061	0.6776	0.4849	0.3221	0.2856	0.025860663488972858
ENSG00000275464	4.112	3.443	4.044	5.075	4.479	4.726	0.031036741598485226
ENSG00000276077	0.7636	0.6316	0.7743	0.5576	0.6017	0.5918	0.04332265034884403
ENSG00000154719	8.474	9.028	8.855	6.578	7.296	7.482	0.00651294047072092
ENSG00000197934	0.1761	0.2787	0.2244	0.05947	0.0	0.1288	0.026301222159516767
ENSG00000156239	0.7786	0.7599	0.779	0.6326	0.6827	0.6918	0.006011320919772202
ENSG00000184351	0.0	0.0	0.0	0.1112	0.1108	0.07603	0.001040227633919528
ENSG00000170262	1.268	1.081	1.139	1.427	1.64	1.426	0.020512250252775147
ENSG00000166979	0.9116	0.8195	0.7409	1.216	1.098	1.196	0.004862900644243331
ENSG00000159082	1.174	1.272	1.239	1.053	1.105	1.104	0.013624324263943163
ENSG00000159128	17.51	15.6	15.79	18.92	19.97	19.43	0.009844161611662999
ENSG00000230978	0.8479	0.696	0.6002	0.1061	0.4226	0.3626	0.025967890744270177
ENSG00000159228	36.51	37.93	40.87	30.5	28.31	30.05	0.003670603161194208
ENSG00000159267	1.404	1.558	1.63	1.106	1.137	1.251	0.010184894869998717
ENSG00000230366	0.0	0.0	0.0	0.08954	0.0446	0.06123	0.007682500316291783
ENSG00000183778	0.004824	0.005091	0.01024	0.04887	0.03246	0.03157	0.006317625920833324
ENSG00000183486	0.1466	0.4952	0.1868	1.238	1.069	1.524	0.004390131119569495
ENSG00000157601	1.053	1.926	0.9749	6.467	6.894	7.956	0.00042173671053585566
ENSG00000233056	0.0285	0.03008	0.04035	0.09626	0.1278	0.1755	0.012692978526844947
ENSG00000160213	648.3	580.7	465.7	880.7	840.1	869.3	0.005466809885613079
ENSG00000160214	5.344	5.879	5.769	7.595	6.594	7.505	0.011999347451685441
ENSG00000241945	3.923	3.693	3.924	5.017	4.42	4.743	0.009594186594525574
ENSG00000293210	0.08691	0.09171	0.2051	0.03261	0.0	0.01115	0.046489833694587056
ENSG00000160285	22.16	22.6	22.77	29.29	24.57	26.88	0.0328042029089745
ENSG00000160298	0.4852	0.4919	0.3771	0.3427	0.32	0.2929	0.029079237288930363
ENSG00000290418	15.68	16.45	14.37	18.58	18.56	17.79	0.013112803427894873
ENSG00000015475	6.563	6.096	6.611	9.657	7.966	8.827	0.00968582216219085
ENSG00000100033	0.354	0.4598	0.4433	0.1839	0.2443	0.09434	0.010929747384387343
ENSG00000070010	37.78	33.07	30.74	41.88	43.33	40.54	0.0222651055639817
